Player_Address,Player,Position,Age,Team,Home_Away,Opp,Result,Date,Week,Gm_Num,Season,Status,Injury,Gm_Start,Off_Snaps_Num,Off_Snaps_Pct,Def_Snaps_Num,Def_Snaps_Pct,ST_Snaps_Num,ST_Snaps_Pct,Passing_Att,Passing_Cmp,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Sk_Yds,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Y/R,Receiving_Ctch%,Receiving_Y/Tgt,Kick_Returns_Rt,Kick_Returns_Yds,Kick_Returns_Y/Rt,Kick_Returns_TD,Punt_Returns_Ret,Punt_Returns_Yds,Punt_Returns_TD,Punt_Returns_Y/R,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Scoring_TD,Scoring_Pts,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_2PM,Scoring_Sfty,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Def_Int_Int,Def_Int_Yds,Def_Int_TD,Def_Int_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Healthy_Week
/players/A/AbduAm00,Ameer Abdullah,RB,22.127,DET,Home,CHI,W 37-34,2015-10-18,6.0,6.0,2015.0,,,True,35.0,43.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,48.0,3.43,0.0,4.0,3.0,21.0,0.0,7.0,,5.25,1.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6
/players/A/AbduAm00,Ameer Abdullah,RB,22.134,DET,Home,MIN,L 19-28,2015-10-25,7.0,7.0,2015.0,,,False,12.0,22.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,43.0,5.38,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,79.0,26.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
/players/A/AbduAm00,Ameer Abdullah,RB,22.141,DET,Away,KAN,L 10-45,2015-11-01,8.0,8.0,2015.0,,,False,5.0,8.0,0.0,0.0,8.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,6.0,151.0,25.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
/players/A/AbduAm00,Ameer Abdullah,RB,22.155,DET,Away,GNB,W 18-16,2015-11-15,10.0,9.0,2015.0,,,False,12.0,18.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,3.0,0.0,1.0,1.0,7.0,0.0,7.0,,7.0,2.0,134.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
/players/A/AbduAm00,Ameer Abdullah,RB,22.162,DET,Home,OAK,W 18-13,2015-11-22,11.0,10.0,2015.0,,,False,25.0,35.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,44.0,3.67,0.0,2.0,1.0,2.0,0.0,2.0,,1.0,2.0,54.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
/players/A/AbduAm00,Ameer Abdullah,RB,22.166,DET,Home,PHI,W 45-14,2015-11-26,12.0,11.0,2015.0,,,True,28.0,39.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,63.0,3.94,0.0,2.0,1.0,12.0,0.0,12.0,,6.0,1.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
/players/A/AbduAm00,Ameer Abdullah,RB,22.173,DET,Home,GNB,L 23-27,2015-12-03,13.0,12.0,2015.0,,,True,20.0,31.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,67.0,5.15,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,51.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
/players/A/AbduAm00,Ameer Abdullah,RB,22.183,DET,Away,STL,L 14-21,2015-12-13,14.0,13.0,2015.0,,,True,19.0,27.0,0.0,0.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,23.0,3.29,0.0,2.0,2.0,21.0,0.0,10.5,,10.5,1.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
/players/A/AbduAm00,Ameer Abdullah,RB,22.191,DET,Away,NOR,W 35-27,2015-12-21,15.0,14.0,2015.0,,,True,22.0,42.0,0.0,0.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,77.0,8.56,1.0,2.0,2.0,12.0,0.0,6.0,,6.0,4.0,123.0,30.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14
/players/A/AbduAm00,Ameer Abdullah,RB,22.197,DET,Home,SFO,W 32-17,2015-12-27,16.0,15.0,2015.0,,,True,20.0,28.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,39.0,4.88,0.0,4.0,4.0,9.0,0.0,2.25,,2.25,2.0,69.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
/players/A/AbduHu99,Husain Abdullah,DB,30.048,KAN,Away,HOU,W 27-20,2015-09-13,1.0,1.0,2015.0,,,True,0.0,0.0,64.0,85.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/players/A/AbduIs00,Isa Abdul-Quddus,S,26.041,DET,Away,SDG,L 28-33,2015-09-13,1.0,1.0,2015.0,,,False,0.0,0.0,4.0,5.0,25.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/players/A/AbduIs00,Isa Abdul-Quddus,S,26.048,DET,Away,MIN,L 16-26,2015-09-20,2.0,2.0,2015.0,,,False,0.0,0.0,10.0,15.0,22.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
/players/A/AbduIs00,Isa Abdul-Quddus,S,26.055,DET,Home,DEN,L 12-24,2015-09-27,3.0,3.0,2015.0,,,False,0.0,0.0,19.0,30.0,22.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
/players/A/AbduIs00,Isa Abdul-Quddus,S,26.063,DET,Away,SEA,L 10-13,2015-10-05,4.0,4.0,2015.0,,,False,0.0,0.0,10.0,15.0,21.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
/players/A/AbduIs00,Isa Abdul-Quddus,S,26.069,DET,Home,ARI,L 17-42,2015-10-11,5.0,5.0,2015.0,,,False,0.0,0.0,15.0,33.0,27.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
/players/A/AbduIs00,Isa Abdul-Quddus,S,26.076,DET,Home,CHI,W 37-34,2015-10-18,6.0,6.0,2015.0,,,True,0.0,0.0,79.0,99.0,15.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
/players/A/AbduIs00,Isa Abdul-Quddus,S,26.083,DET,Home,MIN,L 19-28,2015-10-25,7.0,7.0,2015.0,,,False,0.0,0.0,18.0,24.0,28.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
/players/A/AbduIs00,Isa Abdul-Quddus,S,26.09,DET,Away,KAN,L 10-45,2015-11-01,8.0,8.0,2015.0,,,False,0.0,0.0,12.0,18.0,28.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8
/players/A/AbouOd00,Oday Aboushi,OT,0.0,NYJ,Home,CLE,W 31-10,2015-09-13,1.0,1.0,2015.0,,,Suspended,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/players/A/AbouOd00,Oday Aboushi,OT,0.0,HOU,Away,CAR,L 17-24,2015-09-20,2.0,2.0,2015.0,,,Inactive,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
/players/A/AbouOd00,Oday Aboushi,OT,24.114,HOU,Home,TAM,W 19-9,2015-09-27,3.0,3.0,2015.0,,,True,90.0,100.0,0.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
/players/A/AbouOd00,Oday Aboushi,OT,24.121,HOU,Away,ATL,L 21-48,2015-10-04,4.0,4.0,2015.0,,,True,57.0,74.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
/players/A/AbouOd00,Oday Aboushi,OT,24.125,HOU,Home,IND,L 20-27,2015-10-08,5.0,5.0,2015.0,,,True,74.0,97.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
/players/A/AckeKe00,Kenneth Acker,CB,23.22,SFO,Home,MIN,W 20-3,2015-09-14,1.0,1.0,2015.0,,,True,0.0,0.0,54.0,100.0,8.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/players/A/AckeKe00,Kenneth Acker,CB,23.226,SFO,Away,PIT,L 18-43,2015-09-20,2.0,2.0,2015.0,,,True,0.0,0.0,57.0,100.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
/players/A/AckeKe00,Kenneth Acker,CB,23.233,SFO,Away,ARI,L 7-47,2015-09-27,3.0,3.0,2015.0,,,True,0.0,0.0,67.0,91.0,14.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
